"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
62;"R107";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"2k2";;;
63;"D5";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"4V7";;;
64;"J2";"DIN41612_R_3x32_Male_Horizontal_THT";1;"C96ABC";;;
65;"JP35,JP32,JP14,JP44,JP12,JP40,JP26,JP24,JP11,JP15,JP17,JP18,JP43,JP23,JP31,JP38,JP29,JP34,JP33,JP13,JP30,JP28,JP37,JP42,JP27,JP16,JP21,JP22,JP36,JP41,JP19,JP39,JP20,JP25";"SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm";34;"SolderJumper_2_Open";;;
66;"J7";"PinHeader_2x10_P2.54mm_Vertical";1;"Conn_02x10_Odd_Even_MountingPin";;;
67;"T2";"TO-92-CobraRev";1;"BC327";;;
68;"JP45";"SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm";1;"SolderJumper_3_Open";;;
69;"JEXA1,JEXB1";"PinHeader_1x15_P2.54mm_Vertical";2;"Conn_01x15";;;
70;"RSW1";"Reset_Switch";1;"~";;;
71;"J8";"PinHeader_1x01_P2.54mm_Vertical";1;"Conn_01x01_Male";;;
72;"J5";"PinHeader_1x01_P2.54mm_Vertical";1;"Conn_01x01_Male";;;
